@title,iHOT-33
التعليمات
- هذه الأسئلة تسألك عن المشاكل التي قد تواجهها في الورك، وكيف تؤثر هذه المشاكل على حياتك، والمشاعر التي قد تشعر بها بسبب هذه المشاكل.
- يرجى الإجابة على كل سؤال فيما يتعلق بالحالة الحالية، الوظيفة، الظروف، والمعتقدات المتعلقة بالورك.
- فكر في الشهر الماضي.
- اختر رقمًا من 10 إلى 0 لكل سؤال؛ 10 يمثل الحالة الأفضل و0 يمثل الإعاقة أو المشكلة الأكبر.
- إذا كان السؤال لا ينطبق عليك، استخدم خيار X حيثما كان ذلك مناسبًا.
: الأعراض والقيود الوظيفية -I
الأسئلة التالية تسألك عن الأعراض التي قد تشعر بها في الورك وعن وظيفة الورك فيما يتعلق بالأنشطة اليومية. يرجى التفكير في كيف شعرت في معظم الأوقات خلال الشهر الماضي والإجابة وفقًا لذلك.
1- كم مرة يشعر وركك/فخذك بالألم؟,10- أبدًا,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- دائمًا
2- كم هو تيبّس الورك نتيجة الجلوس/الراحة خلال اليوم؟,10- لا تيبّس على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- تيبّس شديد
3- ما مدى صعوبة المشي لمسافات طويلة؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
4- كم هو مقدار الألم الذي تشعر به في الورك أثناء الجلوس؟,10- لا ألم على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- ألم شديد
5- كم هو مقدار المشاكل التي تواجهها في الوقوف لفترات طويلة؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
6- ما مدى صعوبة النهوض والجلوس من على الأرض؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
7- ما مدى صعوبة المشي على الأسطح غير المستوية؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
8- ما مدى صعوبة الاستلقاء على الجانب المصاب من الورك؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
9- كم هو مقدار المشاكل التي تواجهها في تخطي العوائق؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
10- كم هو مقدار المشاكل التي تواجهها في الصعود والنزول على السلالم؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
11- كم هو مقدار المشاكل التي تواجهها في النهوض من وضعية الجلوس؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
12- كم هو مقدار الانزعاج الذي تشعر به عند اتخاذ خطوات طويلة؟,10- لا انزعاج على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- انزعاج شديد
13- كم هو مقدار الصعوبة التي تواجهها في الدخول والخروج من السيارة؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
14- كم هو مقدار المشاكل التي تواجهها من الطحن، النقر، أو الإنكماش في وركك؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
15- كم هو مقدار الصعوبة التي تواجهها في ارتداء/خلع الجوارب، الجوارب، أو الأحذية؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
16- بشكل عام، كم مقدار الألم الذي تشعر به في الورك/الأربية؟,10- أبدًا,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- دائمًا
: الأنشطة الرياضية والترفيهية -II
الأسئلة التالية تسألك عن وركك عند المشاركة في الأنشطة الرياضية والترفيهية. يرجى التفكير في كيف شعرت في معظم الأوقات خلال الشهر الماضي والإجابة وفقًا لذلك.
17- ما مدى قلقك بشأن قدرتك على الحفاظ على مستوى اللياقة البدنية المطلوب؟,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
18- كم هو مقدار الألم الذي تشعر به في وركك بعد النشاط؟,10- لا ألم على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- ألم شديد
19- كم هو مقدار قلقك من أن يزيد الألم في وركك إذا شاركت في الأنشطة الرياضية أو الترفيهية؟,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
20- كم تدهورت جودة حياتك لأنك لا تستطيع المشاركة في الأنشطة الرياضية أو الترفيهية؟,10- لا تدهور على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- تدهور شديد
21- ما مدى قلقك بشأن تغيير الاتجاهات أثناء الأنشطة الرياضية أو الترفيهية؟,X- لا أفعل هذا الإجراء في أنشطتي,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
22- كم انخفض مستوى أدائك في الأنشطة الرياضية أو الترفيهية؟,10- أبدًا,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- دائمًا
: القلقات المتعلقة بالعمل -III
الأسئلة التالية تتعلق بوركك فيما يتعلق بأنشطتك العملية أو المهنية. إذا كنت لا تعمل لأسباب أخرى غير حالتك في الورك أو كنت متقاعدًا، يمكنك تخطي هذا القسم.
23- كم هو مقدار المشاكل التي تواجهها في دفع، سحب، رفع، أو حمل الأشياء الثقيلة في العمل؟,X- لا أفعل هذه الإجراءات في عملي,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
24- كم هو مقدار المشاكل التي تواجهها في الجثو/القرفصاء؟,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
25- كم هو مقدار قلقك من أن يزيد عملك من سوء حالتك في الورك؟,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
26- كم هو مقدار المشاكل التي تواجهها في العمل بسبب قلة حركة الورك؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
: قلق اجتماعي وعاطفي وحول نمط الحياة -IV
الأسئلة التالية تسألك عن القلقات الاجتماعية والعاطفية ونمط الحياة التي قد تشعر بها فيما يتعلق بمشكلة الورك. يرجى التفكير في كيف شعرت في معظم الأوقات خلال الشهر الماضي والإجابة وفقًا لذلك.
27- كم تشعر بالإحباط بسبب مشكلة الورك؟,10- لا إحباط على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إحباط شديد
28- كم هو مقدار المشاكل التي تواجهها في النشاط الجنسي بسبب وركك؟,X- هذا ليس ذا صلة بي,10- لا مشاكل على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مشاكل شديدة
29- كم هو مقدار الإلهاء الذي تسببه لك مشكلة الورك؟,10- لا إلهاء على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إلهاء شديد
30- كم هو مقدار الصعوبة التي تواجهها في التخلص من التوتر والضغط بسبب مشكلة الورك؟,10- لا صعوبة على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- صعوبة شديدة
31- كم تشعر بالإحباط بسبب مشكلة الورك؟,10- لا إحباط على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- إحباط شديد
32- كم هو مقدار القلق الذي تشعر به عند التقاط أو حمل الأطفال بسبب وركك؟,X- لا أفعل هذا الإجراء في أنشطتي,10- لا قلق على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- قلق شديد
33- كم من الوقت تكون مدركًا للإعاقة في وركك؟,10- غير مدرك على الإطلاق,9- 9,8- 8,7- 7,6- 6,5- 5,4- 4,3- 3,2- 2,1- 1,0- مدرك دائمًا
